Data;IdBuilding;IndividualAddress;GroupAddress;TelegramType;Value;ValueType;Description
2019-02-22 14:32:00.1466667;1;3.3.202;2/1/7;write      ;34.90194;%;C1/0/U101 Umidità
2019-02-22 14:32:20.9300000;1;3.3.201;2/1/1;write      ;706.56;ppm;C1/0/U105 C02
2019-02-22 14:32:34.8433333;1;3.1.201;2/0/5;write      ;22.78;C°;C1/0/M102 TEMP
2019-02-22 14:33:05.2233333;1;3.3.202;2/1/9;write      ;23.92;C°;C1/0/U101 Temperatura
2019-02-22 14:33:18.2300000;5;5.1.201;2/1/0;write      ;474.88;ppm;C3/0/U301 CO2
2019-02-22 14:33:45.8500000;1;3.2.202;2/0/4;write      ;24.28;C°;C1/0/M101 TEMP
2019-02-22 14:33:50.0733333;1;3.1.201;2/0/5;write      ;22.82;C°;C1/0/M102 TEMP
2019-02-22 14:33:58.3233333;5;5.0.15;2/2/40;write      ;-7339.5;W;Produzione totale Fotovoltaico Uffici
2019-02-22 14:35:00.1166667;1;3.3.201;2/1/10;write      ;24.36;C°;C1/0/U105 Temperatura
2019-02-22 14:35:25.9400000;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 14:36:37.0666667;5;5.1.201;2/1/1;write      ;37.64703;%;C3/0/U301 Rel. humidity
2019-02-22 14:37:12.0400000;5;5.1.201;2/1/2;write      ;23.02;C°;C3/0/U301 Temperature
2019-02-22 14:37:25.9166667;1;3.1.201;2/0/1;write      ;576.96;ppm;C1/0/M102 CO2
2019-02-22 14:37:47.9733333;1;3.1.6;2/2/0;write      ;-22526.19;W;Produzione totale fotovoltaico
2019-02-22 14:38:22.9900000;5;5.1.202;2/1/3;write      ;339.84;ppm;C3/0/U306 CO2 
2019-02-22 14:38:31.8900000;5;5.1.202;2/1/5;write      ;21.48;C°;C3/0/U306 Temperature
2019-02-22 14:39:11.8700000;5;5.1.202;2/1/4;write      ;39.99997;%;C3/0/U306 Rel. humidity
2019-02-22 14:39:36.9966667;1;3.2.202;2/0/0;write      ;418.88;ppm;C1/0/M101 CO2
2019-02-22 14:40:25.1000000;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 14:40:47.5966667;5;5.0.12;2/2/1;write      ;-9696.069;W;Produzione totale Fotovoltaico Uffici
2019-02-22 14:41:26.3733333;1;3.3.202;2/1/0;write      ;512.96;ppm;C1/0/U101 C02
2019-02-22 14:42:00.0200000;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 14:42:00.2966667;1;3.3.202;2/1/7;write      ;34.90194;%;C1/0/U101 Umidità
2019-02-22 14:42:21.2300000;1;3.3.201;2/1/1;write      ;731.52;ppm;C1/0/U105 C02
2019-02-22 14:43:05.2633333;1;3.3.202;2/1/9;write      ;24;C°;C1/0/U101 Temperatura
2019-02-22 14:43:18.0666667;5;5.1.201;2/1/0;write      ;460.8;ppm;C3/0/U301 CO2
2019-02-22 14:43:45.8866667;1;3.2.202;2/0/4;write      ;24.28;C°;C1/0/M101 TEMP
2019-02-22 14:43:50.0566667;1;3.1.201;2/0/5;write      ;22.92;C°;C1/0/M102 TEMP
2019-02-22 14:43:57.9000000;5;5.0.15;2/2/40;write      ;-7102.99;W;Produzione totale Fotovoltaico Uffici
2019-02-22 14:49:36.9800000;1;3.2.202;2/0/0;write      ;403.84;ppm;C1/0/M101 CO2
2019-02-22 14:50:25.0966667;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 14:50:47.1766667;5;5.0.12;2/2/1;write      ;-9303.78;W;Produzione totale Fotovoltaico Palestra
2019-02-22 14:55:00.1451076;1;3.3.201;2/1/10;write      ;24.46;C°;C1/0/U105 Temperatura
2019-02-22 14:55:25.8551290;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 14:55:32.2945617;5;5.1.202;2/1/5;write      ;21.34;C°;C3/0/U306 Temperature
2019-02-22 14:56:37.1285049;5;5.1.201;2/1/1;write      ;36.86272;%;C3/0/U301 Rel. humidity
2019-02-22 14:57:12.1127030;5;5.1.201;2/1/2;write      ;23;C°;C3/0/U301 Temperature
2019-02-22 14:57:26.2179248;1;3.1.201;2/0/1;write      ;648.96;ppm;C1/0/M102 CO2
2019-02-22 14:57:47.1619579;1;3.1.6;2/2/0;write      ;-19553.49;W;Produzione totale fotovoltaico
2019-02-22 14:58:23.1770936;5;5.1.202;2/1/3;write      ;333.76;ppm;C3/0/U306 CO2 
2019-02-22 14:59:12.0675396;5;5.1.202;2/1/4;write      ;40.78429;%;C3/0/U306 Rel. humidity
2019-02-22 14:59:36.8616273;1;3.2.202;2/0/0;write      ;395.84;ppm;C1/0/M101 CO2
2019-02-22 15:00:25.3536207;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 15:00:46.7551195;5;5.0.12;2/2/1;write      ;-8887.53;W;Produzione totale Fotovoltaico Palestra
2019-02-22 15:01:26.6024826;1;3.3.202;2/1/0;write      ;576;ppm;C1/0/U101 C02
2019-02-22 15:02:00.4357136;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 15:02:00.6585072;1;3.3.202;2/1/7;write      ;34.90194;%;C1/0/U101 Umidità
2019-02-22 15:02:21.4799513;1;3.3.201;2/1/1;write      ;711.68;ppm;C1/0/U105 C02
2019-02-22 15:03:05.6349691;1;3.3.202;2/1/9;write      ;24.24;C°;C1/0/U101 Temperatura
2019-02-22 15:03:18.1198209;5;5.1.201;2/1/0;write      ;442.88;ppm;C3/0/U301 CO2
2019-02-22 15:03:45.8881009;1;3.2.202;2/0/4;write      ;24.34;C°;C1/0/M101 TEMP
2019-02-22 15:03:50.4251606;1;3.1.201;2/0/5;write      ;23.14;C°;C1/0/M102 TEMP
2019-02-22 15:03:57.0528748;5;5.0.15;2/2/40;write      ;-6431.49;W;Produzione totale Fotovoltaico Uffici
2019-02-22 15:05:00.4036233;1;3.3.201;2/1/10;write      ;24.54;C°;C1/0/U105 Temperatura
2019-02-22 15:05:25.8761707;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 15:05:32.0544226;5;5.1.202;2/1/5;write      ;21.3;C°;C3/0/U306 Temperature
2019-02-22 15:06:37.1439521;5;5.1.201;2/1/1;write      ;36.86272;%;C3/0/U301 Rel. humidity
2019-02-22 15:07:12.1845741;5;5.1.201;2/1/2;write      ;22.94;C°;C3/0/U301 Temperature
2019-02-22 15:07:26.4361049;1;3.1.201;2/0/1;write      ;662.4;ppm;C1/0/M102 CO2
2019-02-22 15:07:46.7529770;1;3.1.6;2/2/0;write      ;-18752.9;W;Produzione totale fotovoltaico
2019-02-22 15:08:23.1441279;5;5.1.202;2/1/3;write      ;339.84;ppm;C3/0/U306 CO2 
2019-02-22 15:09:12.0516158;5;5.1.202;2/1/4;write      ;40.78429;%;C3/0/U306 Rel. humidity
2019-02-22 15:09:36.8499233;1;3.2.202;2/0/0;write      ;385.92;ppm;C1/0/M101 CO2
2019-02-22 15:10:25.4707839;1;3.3.201;2/1/8;write      ;35.68625;%;C1/0/U105 Umidità
2019-02-22 15:10:46.3337505;5;5.0.12;2/2/1;write      ;-8445.109;W;Produzione totale Fotovoltaico Palestra
2019-02-22 15:11:26.8300351;1;3.3.202;2/1/0;write      ;568.96;ppm;C1/0/U101 C02
2019-02-22 15:12:00.6885245;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 15:12:00.8284187;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 15:12:21.5832810;1;3.3.201;2/1/1;write      ;740.48;ppm;C1/0/U105 C02
2019-02-22 15:13:05.8931937;1;3.3.202;2/1/9;write      ;24.3;C°;C1/0/U101 Temperatura
2019-02-22 15:13:18.3680097;5;5.1.201;2/1/0;write      ;434.88;ppm;C3/0/U301 CO2
2019-02-22 15:13:45.8385137;1;3.2.202;2/0/4;write      ;24.34;C°;C1/0/M101 TEMP
2019-02-22 15:13:50.7498801;1;3.1.201;2/0/5;write      ;23.22;C°;C1/0/M102 TEMP
2019-02-22 15:13:56.6278259;5;5.0.15;2/2/40;write      ;-5970.32;W;Produzione totale Fotovoltaico Uffici
2019-02-22 15:15:00.6801814;1;3.3.201;2/1/10;write      ;24.62;C°;C1/0/U105 Temperatura
2019-02-22 15:15:25.8047039;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
